dataset,seed,metodo,acuracia,precisao,recall,f1_score,tempo,best_params
Weather,6,RandomSearch,0.8655,0.7945205479452054,0.5260770975056689,0.6330150068212824,82.41296148300171,"{'C': 11.462107403425033, 'gamma': 0.000498275235707645}"
Weather,6,BayesianOptimization,0.866,0.7817589576547231,0.54421768707483,0.6417112299465241,76.00466752052307,"{'C': 492.9053648241689, 'gamma': 0.00010090061869151568}"
Breast Cancer,7,GridSearch,0.9649122807017544,1.0,0.9047619047619048,0.95,0.3428168296813965,"{'C': np.float64(21.544346900318846), 'gamma': np.float64(0.004641588833612782)}"
Breast Cancer,7,RandomSearch,0.9649122807017544,1.0,0.9047619047619048,0.95,0.2344224452972412,"{'C': 145.28246637516034, 'gamma': 0.0011526449540315616}"
Breast Cancer,7,BayesianOptimization,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,2.0788822174072266,"{'C': 1000.0, 'gamma': 0.01100073113562638}"
Titanic,7,GridSearch,0.8100558659217877,0.8571428571428571,0.6086956521739131,0.711864406779661,0.7008519172668457,"{'C': np.float64(0.464158883361278), 'gamma': np.float64(0.21544346900318845)}"
Titanic,7,RandomSearch,0.7988826815642458,0.7894736842105263,0.6521739130434783,0.7142857142857143,0.4175083637237549,"{'C': 0.3320559103751957, 'gamma': 0.0420515645091387}"
Titanic,7,BayesianOptimization,0.8156424581005587,0.86,0.6231884057971014,0.7226890756302521,2.211235284805298,"{'C': 31.309901102434928, 'gamma': 0.009508316527055118}"
Water Potability,7,GridSearch,0.7103658536585366,0.7946428571428571,0.34765625,0.483695652173913,7.802910804748535,"{'C': np.float64(1000.0), 'gamma': np.float64(0.004641588833612782)}"
Water Potability,7,RandomSearch,0.6676829268292683,0.9130434782608695,0.1640625,0.2781456953642384,6.081603050231934,"{'C': 0.3320559103751957, 'gamma': 0.0420515645091387}"
Water Potability,7,BayesianOptimization,0.698170731707317,0.7196969696969697,0.37109375,0.4896907216494845,14.6437406539917,"{'C': 26.10399063855782, 'gamma': 0.030372034341569317}"
Employee,7,GridSearch,0.8474758324382384,0.856,0.66875,0.7508771929824561,21.821719884872437,"{'C': np.float64(21.544346900318846), 'gamma': np.float64(0.21544346900318845)}"
Employee,7,RandomSearch,0.8442534908700322,0.8600823045267489,0.653125,0.7424511545293073,9.223942756652832,"{'C': 10.129197956845731, 'gamma': 0.34702669886504106}"
Employee,7,BayesianOptimization,0.8506981740064447,0.8663967611336032,0.66875,0.7548500881834215,36.084959983825684,"{'C': 4.521023462250764, 'gamma': 0.1416330008347792}"
Weather,7,GridSearch,0.861,0.7839721254355401,0.5102040816326531,0.6181318681318682,110.29427599906921,"{'C': np.float64(21.544346900318846), 'gamma': np.float64(0.0001)}"
Weather,7,RandomSearch,0.8605,0.7718120805369127,0.5215419501133787,0.6224627875507442,83.54686117172241,"{'C': 11.462107403425033, 'gamma': 0.000498275235707645}"
Weather,7,BayesianOptimization,0.8635,0.767515923566879,0.546485260770975,0.6384105960264901,80.8670105934143,"{'C': 96.09812947036423, 'gamma': 0.0008263688714158015}"
